R_fighter,Avg_sig_strike_att,Avg_sig_strike_pct,Avg_TD_att,Avg_TD_landed,Avg_TD_pct,Avg_Total_strike_att,Avg_Total_strike_landed,R_Stance,Reach,Height,Winner
Brad Tavares,1.5064475813857385,0.5884269267202642,0.43379540913259956,0.10051869218910586,0.07780849053476113,0.8583003629407049,0.50054919601505,Orthodox,0.9367088607594938,0.9864864864864864,Yes
Arman Tsarukyan,1.355,1.0407523510971788,1.1,0.38461538461538464,0.4112149532710281,1.6756126021003501,2.1538461538461537,Orthodox,1.0140845070422535,0.9710144927536233,Yes
Marina Rodriguez,1.5564924114671164,0.7293233082706766,0.2647058823529412,0.1,0.041254125412541254,1.341324200913242,1.2459016393442623,Orthodox,0.9848484848484848,1.0476190476190477,Yes
Amir Albazi,0.23529411764705882,0.7636363636363636,0.09090909090909091,0.5,5.555555555555555,0.36507936507936506,0.3835616438356164,Orthodox,1.0303030303030303,1.015625,Yes
Khalil Rountree Jr.,2.5094476744186047,0.823328488372093,0,0,0,1.7679625984251968,1.2738970588235294,Southpaw,1.027027027027027,0.9733333333333333,No
Nik Lentz,0.8280468814306681,0.759581182942246,1.2515180729053639,0.5691399044460721,1.1171889660963374,0.7473764304501122,0.5713216105995276,Orthodox,0.9444444444444444,1.0149253731343284,No
Omari Akhmedov,3.476789110794104,0.5448384572901326,12.3078125,2.883544921875,0.4775830078125,3.844862148506151,2.9626141552511416,Orthodox,1,0.96,Yes
Warlley Alves,0.3462051995056497,0.6610085227272727,0.48291015625,0.423583984375,0.63666015625,0.355297599871134,0.2908871299342105,Orthodox,0.9473684210526316,0.9726027397260275,Yes
Matt Schnell,0.6606564019448946,0.7054263565891472,1.53125,0.140625,0.140625,0.7733118971061094,0.8950617283950617,Orthodox,1.0294117647058825,1.0149253731343284,Yes
Roxanne Modafferi,1.1091553420805997,0.629092261904762,1.6548913043478262,2.0555555555555554,1.4016113281249998,1.5701768663194444,1.3223048686244203,Orthodox,1.0147058823529411,1.046875,No
Ike Villanueva,4.066666666666666,1.402173913043478,0,0,0,5.032258064516129,4.875,Orthodox,0.9605263157894738,0.9605263157894737,Yes
Michael Chiesa,0.45059733182623274,0.6066984396684458,1.05840297698499,1.8929445684707826,1.9447013770967516,0.6423858816995514,0.5527138094655601,Southpaw,0.9375,0.9733333333333333,Yes
Lerone Murphy,0.40954446854663773,1.103448275862069,1.2549019607843137,1.7777777777777777,1.8518518518518516,0.49930871025083945,0.5953177257525084,Orthodox,1.073529411764706,1.0298507462686566,Yes
Su Mudaerji,9.291666666666666,1.659090909090909,0.25,0.25,0.25,9.875,17.625,Southpaw,1.1076923076923078,1.0461538461538462,Yes
Dalcha Lungiambula,0.5835095137420718,1.1428571428571426,2.909090909090909,9.142857142857142,5.387755102040817,0.8977159880834161,1.3162393162393162,Orthodox,1.0410958904109588,0.9315068493150686,Yes
